INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score	HINT:text
79667_0	неужели господин диснеевец понимать еальный история принцесса покахонтас отношение джон ольф продолжение шедевр тема история покахонтас джон смит это бред eol диснеевский покахонтас это сказка добрый сказка ребенок должный оставаться неужели точный следование факт думать создатель первый часть оно нужный данный случай доброта поучительность оригинальный мультфильм вдосталь обладать поэтичность искренность красота сила душевность ощущение единение природа преданность родина любовь отличать мультфильм благодаря помнить видеть бог помнить долго несмотря отступление история eol подумать покахонтас закручивать новый роман джон смит который женщина который клясться вечный верность приятный воспоминание прошлое ужас тихий это отправлять черт весь история красивый любовь который хотеться верить который заставлять искренне сопереживать герой сводить незначительный эпизод жизнь покахонтас джон слово подсовывать покахонтас новый любовь джон ольф который замужем настоящий индейский принцесса история иначе из-за сценарий создавать какой-то фантазия уважение выкладываться пожелать свет это выставлять полюбиться герой создатель подумать хотеть судя eol отважный благородный джон смит жалко учет появляться самый начало конец насколько топорный недоработанный выходить немногий сцена смит смена храбрость романтичность приходить какой-то легкомыслие ребячество каприз ясный ясный ровно никакой желание вводить сюжет создатель иметь забывать обо вышеперечисленный видеть eol фильм удачный персонаж по-настоящему красивый запоминаться музыкальный номер яркий эмоция фильм настолько примитивный слабый знать это замечать анимация настолько плохой насколько прекрасный первый фильм саундтрек зачем-то привлекать сразу композитор потуга троица особенно великолепный музыка алан менкен просто смешной оно правильно разукрашивать подобный ересь красивый картинка звук просто смысл eol плюс балл единственный эпизод фильм который получаться эпизод травля медведь дворец действительно хороший момент сильный первый часть какой-то степень достойный евущий боль ярость медведь глумливый хохот отовсюду ужас омерзение покахонтас общий эмоционально сцена хороший вспомнить решительно нечего eol 2 10		yes	yes	yes	no	neg	neg	neg		
8251_2	eol забавный хотя несколько дурацкий фильм любовь мошенник простак генри фонд играть очень доверчивый сын миллионер чарли который цеплять крючок джин дочь пароходный шулер поначалу чарльз интересный джин добыча дурачок который стрясать хороший куш внезапно влюбляться по-настоящему готовый сын миллионер поверять искренность чувство аферистка eol барбара стэнвик очень хороший средний актриса очень шикарный женщина уметь эффектно подавать смотреть понимать почему оберт тейлор самый красивый мужчина голливуд гордый счастливый соглашаться жена говорить удача простой парень вроде выпадать нечасто общий стэнвик второстепенный актер оба папа телохранитель чарли держать весь фильм фонд играть непроходимый идиот красота который чувствительный блекнуть фон несколько однообразный выражение лицо бесконечный падение очередной торт генри фонд отличный актер фильм милый идиот романтический комедия человек тип получаться должный смотреть дорогой клементина сказка манхеттен подобный роль предпочитать видеть актер большой чувство самоирония джимий стюарт вполне пойти       :)        eol ps хотеть увидеть настоящий яркий пара стэнвик купер понравиться герой война коннектикут простоватый фонд слишком замораживать светский интересно тейлор где-то играть вместе		yes	no	no	yes	neut			neut	
86333_9	eol фильм рассказывать жизнь создатель легендарный оллинг стоунс бесподобный брайан джонс eol сожаление мало вспомнить основатель легендарный группа известный микк кит брайан умирать молодой достаточно давно талант eol фильм повествовать обо любовь секс наркотик музыка дружба предательство вообщий безумный жизнь рокенрольщик первый нотка понимать stoned просто насыщать классный музыка музыка олинг !? eol хотеться отмечать стивен вуля совершенно точно подбирать актер фильм лео грегорри настолько справляться свой роль видеть немой брайан бен уишоу роль кит ичардс очень правдоподобный eol общий любить оллинг вообще музыка фильм определенно понравиться человек должный знать история eol 10 10		yes	no	yes	yes	pos		pos	pos	
81297_4	eol чудо бокс происходить сила весь драться смотреть сломать ребро отбивать почка чудо случаться ставить карта ради мечта известный eol читать рецензия стараться писать фильм просто разрывать сердце кусочек история девушка который идти напролом смотреть чемпионка именно большой буква персонаж мэгги настолько глубокий моментально вызывать симпатия фильм показывать насколько несправедливый жизнь уходить хороший кладбище забивать человек который мир мочь обходиться хилари суонк настолько гениальный актриса вериться это просто игра eol клинт иствуд хороший eol 10 10			no	no	yes			neut	pos	
68242_3	eol жизнь бывать дебютный фильм каран джохар который доказывать свой талант eol первый взгляд это типичный индийский мелодрама снимать миллион доллар получать успех свой родина фильм показывать индийский мачо спасать свой индийский принцесса счастливый конец фильм показывать взаимоотношение человек отношение отец дочь отношение мама сын парень девушка т д eol фильм замечательный саундтрек сцена танец место вызывать смех заглавный песня фильм вообще становиться самый узнаваемый индийский кино появляться фильм eol шах укх кхан сыграть отец молодой студент герой действительно сопереживать каджол великолепно сыграть простой девушка понимать ничто любовь аня мукхерджи сыграть типичный девушка главный герой сыграть факт фильм приводиться слово аня мукхерджи который сказать каран джохар единственный смочь сыграть роль хотя думать роль ничто сложный фильм актер джонни левер который удивление бесить свой роль также хотеться сказать анупам кхер который играть директор герой это наивный дурачок который вызывать улыбка смех eol целое фильм очень хороший смочь находить какой-то значимый ошибка рекомендовать просмотр eol 10 10		yes	no	yes	yes	pos		pos	pos	
66091_0	претендовать забавность место скучноватый комедия очередной эксплуатировать тема дон жуан вечный любовник ставить довольно жесткий выбор который совершать мочь поскольку замысел залуский лишать умение говорить сила свой инфантильность некоторый истеричность представать этакий мотылек порхать цветок восхищаться каждый забывать обо привлекать цветок едва где-то неподалеку появляться новый выбор однако мотылек ставить именно цветок недавний прошлое наполнять влюбленность настоящий однажды запирать своеобразный персональный цветник который мотылек кароль всячески пытаться выбираться сила упоминать отнюдь мужественный черта сделать это мочь заодно расставаться зачаток воля который немой наверное сохраняться конец конец неудачный попытка бегство цветник приводить мотылек физический травма главный цветок находить сразу несколько мотылек финал открывать интерпретация смех кароль мочь расценивать радость осознание возможность лететь далеко помешательство eol подуматься андрей павлович бузыкин георгий данелия глупый начисто лишать интеллигентность порядочность нравственность пожалуй мочь прототип главный герой данный фильм оман залуский eol 4 10		yes	no	no	no	neut				
68478_0	похититель обычно делать свой жертва обычно насиловать подвергать пытка заставлять решать головоломка требовать выкуп весь это интересный пока замысел похититель разгадывать градус внимание сюжет начинать неуклонно опускаться пусть жертва отчаянно бороться смиряться становиться игрушка весь трепыхание редко бывать интересный ничто новый привносить сюжет eol идеальный образование наблюдаться называть идеальный похищение похищение оказываться удобный форма сводить вместе человек который иначе друг друг узнавать eol сюжет фильм норовить скатиться фарс это располагать смешной обитатель дом девушка свой детский непосредственность главный герой вовремя выруливать сторона драма непростой задача идеальный взаимоотношение видеть соитие тело душа близость который должный возникать принуждение eol зрелый мужчина преобразовывать похищать старшеклассница идеальный любовница наблюдать отбрасывать весь подозрение педофилия жестокий обращение девушка поздно убеждаться героиня иметь свой воля характер отношение пленница похититель начинать напрягать переключаться сосед точно давать заскучать свой выходка eol фильм музыка обычно обращать внимание самый разный подобранный ситуация начинать звучать незаметно тема резко обрываться смена кадр понравиться понравиться игра наото такэнака похититель       ):        серьезный заботливый страстный конец фильм девушка показываться вживаться роль ход фильм сразу это удаваться выражать появление самый идеальный страсть получаться			no	yes	yes			pos	pos	
70912_1	eol фанфара любовь комедия сценарий который спустя восемь год билли уайлдер создавать некоторые любить горячо джаз девушка фильм оригинальный непоказанный уайлдер eol во-первых увидеть мафиози экран пред западный германия начало 50 х сша конец 20 х eol во-вторых ганс становиться ганси петер петр ганс влюбляться очаровательный вокалистка весенний фиалка вновь превращаться мужчина галантный композитор дабы производить нужный впечатление девушка петер решать отомщать вольный выходка свой друг переодеваться мужчина брат петр лихой бесподобный догадываться первый минута подружка очаровательный вокалистка полагать глаз пойти кутерьма eol общий картина очень веселый милый крайне приятный смотреть слушать советский дубляж который сделать 1958 год eol 9 10		yes	no	no	no	pos				
70988_0	нужно подлечивать расшатывать жизнь нерв нужно посмотреть комедия участие каришмы капур говинд eol любить пара правило очень легкий очень химичный веселый комедия редкий исключение получаться удачный фильм легкий юморный онбыл список хит 1997 год кстати весь критик отмечать это самый урожайный хит год задействовать фильм понятно каришма капур говинд также обожать кадер кхан шакти капур эпизод звезда второй план частность пареш аваль роль глава чокнутый семейка динанатх смущать лишь парешь момент приблизительно возраст свой сын бездельник сценарист это смущать добавлять седина дело конец eol жанр комедия казаться верный это скоро мелодрама элемент комедия знать отдыхать фильм очень красочный песня очень красивый сюжет напрягать вечный история сын адж говя сбегать свой отец тиран поиск хороший жизнь куда-нибудь европа потрясать пейзаж обеспечивать попутно влюбляться студентка мина каришма капур       ),        который путешествовать свой тетя химани шивпури девушка невзлюбить первый взгляд отношение меняться коренной образ спасать лапа хулиган брак невозможный из-за ссора отец дедушка итак герой n1 задача жениться любимый заодно наводить шухер семейный отношение герой говинд блеск делать eol понравиться говя улыбка 50 зуб отношение отец течение фильм меняться диаметральный противоположный карий трогательный очаровашка пареш понравиться образ гневливый добрый дедуля кадер кхан отеческий любовь самый юморный сцена вгляд это адж машина напяливать костюм поверх банный полотенце вообще говя уметь сцена сниматься ухохатываться образ слуга дом динанатх говинд просто неподражаемый сыграть 5 плюс eol песня очень красивый потрясать пейзаж фон швейцарский альпы германский город французский дисней лэнд звучание понравиться hero n1 mohabbat ho jaate hai yeh sharad tum hum pe marte ho очень милый профессионально поставлять сопровождение великолепный музыка eol советовать отдых душа разгрузка мозги eol 9 10		yes	yes	yes		pos				
7158_5	eol картина порода беглец разговорный драма множество громкий фраза красочный афоризм тащить фильм должный игра марлон брандо ассистентка анна маньянять джоэнн вудворд человек проживать пол жизнь сфера развлечение гуляние решать изменять свой судьба отправляться путешествие дождливый ночь находить ночлег местный житель помощь новый знакомство появляться перспектива находить работа магазин город встречать героиня лэди кэрол происходить химия который представлять зритель eol игра признавать мастер свой дело выходить весьма ярко чур персонаж выглядеть карикатурный безжизненный змеиный кожа порода беглец трудно сопоставлять человек 15 летний возраст жить развлечение первый появление экран валентин искрить излишний самоуверенность некий превосходство остальной философствовать идеализировать почему автор сводить главный герой весь достоинство довольно таки скверный женщина предоставлять мотив это персонаж наделять человечность самый сказать персонаж маньянь вудворд очень яркий карикатурный совершать безжизненный почему разъясняться валентин важный валентин eol некий злодей мрачный жуткий город представлять хозяин магазин джейб торенс давать объективный оценка персонаж яркость объясняться разглядеть человек суть подозрение подтверждаться брать расчет последний поступок персонаж посочувствовать второстепенный персонаж получать мало внимание успевать переменный успех вносить свой вклад музыкальный сопровождение примечательно большой часть сцена происходить огромный магазин часть город который попадать экран мочь подходить типичный хоррор жить основной сумасшедший человек почитать насилие eol 3 10			no	yes	yes			neut	pos	
