INPUT:id	INPUT:text	OUTPUT:id	OUTPUT:plot	OUTPUT:image	OUTPUT:music	OUTPUT:actors	OUTPUT:plot_score	OUTPUT:image_score	OUTPUT:music_score	OUTPUT:actors_score
65636_1	чудесный фильм немецкий дедушка шульц dot герой отрабатывать n ое количество год шахта выходить долгожданный пенсия dot заполучать свобода герой понятие иметь распоряжаться dot оставаться цель идея dot прежний жизнь идти работа время скучать dot самостоятельно приходиться что-то занимать придумывать цель dot сожаление это очень получаться dot смахивать маленький ребенок который переставать заботиться родитель приходиться делать это dot безысходный вести мир вокруг переставать крутиться шульц попадать куча приятный очень ситуация dot >   < eol фильм довольно монотонный серый скучноватый обычный день немецкий провинциальный гордке время присутствовать тонкий ирония юмор dot раскрывать тема одиночество dot находить общий фильм шмидт dot >  < eol екомендовать посмотреть человек старший поколение тема близкий dot хотя молодой получать огромный удовольствие просмотр dot >   < eol 7 10	65636_1	yes	no	no	yes	pos	neut	neut	pos
7158_1	фильм состоять основной диалог именно создавать атмосфера фильм держать напряжение самый конец dot >  < eol центр фильм стоять музыкант бунтарь ксавьер плавно прожигать свой жизнь ночной клуб попадать решетка осознавать хотеть уходить это 30 пора подумать что-то важный жизнь dot брать свой спутница гитара уезжать начинать новый жизнь dot человек играть великолепный марлон брандо dot >  < eol джоэнн вудворд играть молодой бунтарка кэрол который весь сила хотеть добиваться внимание ксавьер слишком напоминать прошлое который хотеть уходить безнадежный попытка приводить различный безумный выходка dot >  < eol ксавьер устраиваться работа обувной магазин знакомиться немолодой хозяйка весьма необычный имя леди который жить больной озлобленный муж dot общий женщина который нехорошо обходиться жизнь влюбляться ксавеьра вместе вновь полюбить жизнь это опасно встречаться замужний женщина dot >  < eol стоить отмечать леди сыграть неизвестный актриса анна маньянь сыграть просто великолепно плохой марлон брандо это очень трудный dot общий незабываемый фильм весь время dot	7158_6	yes	no	no	yes	pos	neut	neut	pos
70089_7	рад недавно узнавать существование фильм dot весь фильм просто восхищаться искренний игра маленький актер dot насколько это чувствительный dot >  < eol понетта воспринимать смерть совершенно по-своему dot заканчиваться существование мама течение весь фильм искать путь встреча dot отец слишком растерянный утешать ребенок dot попытка рассказывать дочь случаться мама разбиваться детский восприятие dot >  < eol отец мама умирать dot знать это значить eol понетта dot летать свой волшебный зеркало dot >  < eol сердце разрываться картина насколько глубоко переживать смерть мама просто оставлять равнодушный dot диалог фильм выписывать выписывать dot думать рассказывать фильм нежели dot >  < eol дельфин должный грустный dot >  < eol понетта должный dot >  < eol понетта ждать свой мамочка dot >  < eol матиаз умерший человек возвращаться dot >  < eol понетта иисус сделать это свой друг dot друг dot дочка свой мамочка dot >  < eol матиаз дедушка возвращаться dot >  < eol понетта это никто ждать dot >  < eol матиаз понетта ждать свой мамочка dot >  < eol тетя это просто игра dot >  < eol матиаз действительно ждать dot >  < eol понетта видеть свой мамочка dot >  < eol отец ходить кладбище сумасшедший eol понетта приходить свой плоть напугать dot сказать должный научаться счастливый dot >  < eol слеза понетта dot дождаться свой dot встречаться свой мама dot решать счастливый dot сказать мамочка dot >  < eol советовать фильм обязательно dot	70089_7	yes	no	no	yes	pos	neut	neut	pos
70912_1	фанфара любовь комедия сценарий который спустя восемь год билли уайлдер создавать некоторые любить горячо джаз девушка ) < dot фильм оригинальный непоказанный уайлдер eol во-первых увидеть мафиози dot экран пред западный германия начало 50 х сша конец 20 х dot >   < eol во-вторых ганс становиться ганси петер петра dot ганс влюбляться очаровательный вокалистка весенний фиалка вновь превращаться мужчина dot галантный композитор дабы производить нужный впечатление девушка dot петер решать отомщать вольная выходка свой друг переодеваться мужчина dot брат петр лихой бесподобный dot догадываться первый минута подружка очаровательный вокалистка полагать глаз dot пойти кутерьма eol общий картина очень веселый милый dot крайне приятный смотреть слушать советский дубляж который сделать 1958 год dot >   < eol 9 10	70912_1	yes	no	no	no	pos	neut	neut	neut
7913_0	большой огромный ошибка смотреть фильм поздно ночь dot почему слегка клонить ко сон благодаря лента едва заснуть экран телевизор dot >  < eol сюжет простой незатейливый dot малопривлекательный женщина средний год застревать вечерний пробка центр париж dot дорога подбирать немногословный мужчина немолодой довольно приятный dot слово слово проникаються симпатия друг друг это приводить номер отель dot >   < eol думать рассказывать первый 20 30 минута фильм ошибаться это dot смотреть это практически сопровождать диалог музыка кино невообразимый скучно dot >  < eol короче говорить советовать правда страдать бессоница явно мочь глянуть цель лечение свой недуг dot	7913_3	yes	no	no	no	neg	neut	neut	neut
7158_3	очень смелый кино 60 х dot казаться это рассказ музыкант который покидать свой дом оставлять свой старый жизнь начинать новый история старый мир dot странно ксавьер взгляд история мало dot новый жизнь начинаться разваливаться жизнь обитатель провинциальный городок приходиться связывать свой судьба судьба точно руина человек который свой очередь испытывать крайний любопытство возможно легкий зависть свобода музыкант dot это первый очередь бесшабашный кэролл потерять стыд страх также последний капля уважение житель городок dot разумеется это леди отчаиваться женщина надежда хороший жизнь приковывать умирающий ненавистный муж несущий душа тяжелый груз несчастливый воспоминание dot >   < eol долгий наполнять глубина диалог который понимать душа герой dot например момент ксавьер рассказывать птица который показываться символизировать свой жизнь dot птица лапка ложиться спать ветер земля приземляться лишь умирать dot >  < eol фильм передавать дух свой время элементарно ментальность окружать неприятие выходить создавать общество рамка dot герой антигерой dot морально прогнивать умирающий муж леди джейб торранс переполненный злоба вечно подозревать измена однако бессильный что-либо изменять пытаться сделать жизнь свой жена невыносимый это неплохо удаваться dot >  < eol название фильм порода беглец полностью соответствовать содержание dot это бежать свой прошлый жизнь старый проблема ксавьер это убегать свой настоящий ненавистный жизнь кэролл это леди разглядеть молодой музыкант лучик надежда новый хороший жизнь готовый бежать оно оборачиваться dot простой eol 9 10	7158_6	yes	no	no	no	pos	neut	neut	neut
78993_2	ильза свирепый тюремщица это третий фильм маньячный тетка ильза вроде грета dot знать это связанный мочь какой-нибудь авторский право что-то род dot крайний мера режиссер дон эдмондс легенда эротический хоррор джесус хесус иисус франко dot >  < eol понятный появление фильм небезызвестный лина омэй неизбежный dot франко любить снимать свой фильм свой супруга dot кроме кино присутствовать некоторый сцена фильм куколка колючий проволока который снимать хесус франко dot >   < eol общий мужик решать немного навариваться популярность ильза снимать свой кино dot франко это вполне нормальный ситуация dot любить эксплуатировать эксплуатационный кино прощать каламбур dot >  < eol сюжет лишний останавливаться полагать смысл dot довольно стандартно фильм данный тематика насилие самый разнообразный форма женщина dot смениться лишь декорация бархан джунгли dot >  < eol касаться актер хотеться отмечать актриса dot >   < eol во-первых жутко отвратительный прямо сказать мерзкий бабенка дайан торн dot честно сказать сталкиваться столь отвратительный актриса dot пусть обижаться поклонник дайан очень некрасивый лицо большой бюст ничуть исправлять положение делать актриса гротескный dot хотя фильм подобный род подходить идеально dot начинать ненавидеть первый минута появление dot >   < eol во-вторых лина омэй точно оз мариа алмиралл мартинес dot удивительно милый красивый девушка умудряться спутываться мастер эротический ужас оставаться непонятно dot судить человек внешний вид верно dot лина любительница обнажаться камера проделывать сей пора несмотря довольно почтенный возраст dot кроме красавица брезговать порнофильм dot менее какой-то образ умудряться сохранять самый невинный вид среди большинство актриса жанр dot >  < eol увы фильм ничто запоминаться наличие немой указанный актриса синьора франко положение спасать dot фильм понравиться eol 2 10	78993_2	yes	no	no	yes	neg	neut	neut	neg
84995_0	несмотря весь абсурдность сюжет фильм вполне жизненный актуальный dot фантастичный главный лозунг история политика это шоу-бизнес eol франция переживать волнение 1968 год dot мир всеобщий потребление трещать шов dot проститутка заявлять свой борьба место тротуар dot развивающийся страна пылать революция dot музыкант становиться главный политик dot мутный вода ловить золотой рыбка пятеро прожженный гангстер dot встречать политический социальный баталия единственный цель зарабатывать dot >   < eol весь устремление герой характеризовать эпизод dot первый продавать лидер повстанец сразу противоборствующий сторона dot второй договоренность сторона похищать популярный эстрадный певец создавать громкий реклама зарабатывать dot >   < eol лино вентура величина номер dot запросто справляться комедийный роль делать ничто особенный намеренно рассмешить зритель dot единственный исключение являться репетиция итальянский походка отказывать удовольствие немного подурачиться eol эх хронометр маленький действительно смешной шутка американский прокат картина выходить имя деньги деньги деньги взгляд являться замечательный альтернатива оригинальный название dot фильм показывать открытие каннский фестиваль 1972 год ждать пища ум dot >   < eol 7 10	84995_2	yes	no	no	yes	neut	neut	neut	neut
71833_1	фильм затрагивать проблема отношение человек именно вопрос значение положение маленький человек общество dot например житейский обстоятельство старость изменять социальный статус человек это вопрос просто факт который существовать существовать ныне dot >  < eol ежиссер фридрих мурнау прекрасно показывать характер свой герой смотря кинолента черно-белый немой dot мастерски показывать человек придавать значение внешний атрибут человек ничтожно отношение внутренний мир человек dot фильм актуальный сегодняшний день	71833_9	no	yes	no	no	neut	pos	neut	neut
64081_5	просмотр фильм просто переполнять сильный эмоция dot начало фильм вызывать бурный интерес крайне мера первый 20 минута непонятный бред глупый манера dot порадовать появление несколько минута аня мухерджи dot понестись закручиваться eol сюжет фильм главный герой дева бездельник ловелас ради материальный выгода решать жениться дочь крупный промышленник dot отправляться будущий родственник теплоход дева намереваться весело погулять сей громадный посудина ан выходить dot путем направляться свой жених прии победительница фестиваль азиатский музыка танец чистый невинный девушка dot несколько недоразумение взаимный подкалывать становиться друг вскоре понимать попадаться сеть любовь dot дева настоящий мужчина первый говорить свой чувство прии отвергать вспомнить жених который кстати показываться испытывать братский нежели романтический чувство dot однако подумать признаваться любить дева dot условие каждый пусть идти свой дорога шесть месяц встречаться назначать место прийти искать dot образ время расставлять весь свой место проверять чувство dot далеко начинаться самый интересный dot >  < eol аамир кхан каран дева сингх dot персонаж дева делиться часть дева встреча прия dot потрясать перевоплощение циничный ловелас верный трудолюбивый парень dot просто идеал любой девушка зарабатывать жизнь свой рука причем делать это впервые взгляд свой первый зарабатывать деньги стоить думать это тронуть любой dot жизнь понятный дело редко бывать поэтому приятно видеть кино подобный пример dot одинаково правдоподобный сыграть совершенно разный тип человек dot ценить зритель аамир кхан внешность родительский деньги некоторый болливуд грандиозный талант браво eol маниш койрало прии варма dot сожаление впечатлить dot думать единственный сказать слишком миловидный главный роль dot главный роль смотреться красавица минимум симпатичный девушка dot протяжение весь фильм раздражать внешность маниш сказать актерский данные dot играть смеяться искренне плакать натурально dot взгляд роль dot >  < eol несколько слово песня мотив самый наглый образ копировать итальянский хит мило это смотреться dot особенно понравиться индийский версия la shante mi cantare песня герой рояль помнить название dot >   < eol ценитель настоящий индийский кино смотреть обязательно eol 9 10	64081_6	yes	no	no	no	neut	neut	neut	neut
70911_0	устраивать человек кто-то виноватый dot недоброжелатель круг который мочь входить враг друг ),  родственник начальник правительство президент dot виноватый лишь собственный пористый тельце способный бесконечно долго жалеть любимый утыкать свой слезливый носик жилетка мнимый сочувствовать dot >  < eol великолепный задумка француз андре кайат показывать диаметральный точка зрение конфликт муж жена каждый герой последовательно изображать святой выставлять второй половина полный ничтожество dot серия фильм идеалистический взгляд персонаж видеть изнутри свой всеобъемлющий dot >  < eol искусный кинематографический диптих супружеский незрелость слово любовь ставиться самый пара тройной кавычка dot оба считать жертва никто истинный жертва приносить хотеть dot жан марк должный сделать мужчина большой франсуаза должный женщина чистый dot каждый лезть вынимать соринка чужой глаз собственный взгляд перевешивать огромный бревно dot >  < eol слепота дух моральный аллергия помножать степень ограниченность имя который глупость вести оба закономерный одиночество dot истина оказываться действительно вино вино собственный ракурс второй оказываться недоступный dot >  < eol фильм гениальный кайат снимать третий серия самый дело dot хотя стоп самый дело это субъективный точка зрение режиссер dot получаться идеальный двуполярный памфлет зритель трудно занимать чей либо точка зрение складывать оба позиция занимать свой доснимать третий нейтральный серия голова dot >  < eol 8 10	70911_4	yes	no	no	no	pos	neut	neut	neut
